customer_id,signup_date,loyalty_tier,marketing_opt_in
C1000,2024-09-22,Gold,Yes
C1001,2025-01-19,Gold,No
C1002,2024-06-09,Silver,Yes
C1003,2024-08-04,Silver,Yes
C1004,2025-01-26,Bronze,Yes
C1005,2023-05-14,Silver,Yes
C1006,2024-05-19,Silver,Yes
C1007,2023-09-24,Bronze,Yes
C1008,2023-01-22,Silver,Yes
C1009,2025-03-09,Silver,No
C1010,2025-03-30,Bronze,No
C1011,2023-05-07,Gold,Yes
C1012,2024-12-08,Bronze,No
C1013,2024-09-22,Bronze,Yes
C1014,2023-11-05,Bronze,Yes
C1015,2023-10-22,Gold,Yes
C1016,2023-03-26,Silver,No
C1017,2023-03-26,Bronze,No
C1018,2024-02-18,Silver,Yes
C1019,2024-01-28,Bronze,No
C1020,2024-08-18,Gold,Yes
C1021,2024-09-29,Silver,No
C1022,2023-12-24,Bronze,No
C1023,2025-02-09,Platinum,Yes
C1024,2023-12-31,Bronze,No
C1025,2025-01-26,Bronze,Yes
C1026,2024-08-18,Silver,Yes
C1027,2023-10-22,Platinum,Yes
C1028,2024-07-28,Bronze,Yes
C1029,2024-05-12,Bronze,No
C1030,2025-03-16,Bronze,No
C1031,2024-05-12,Silver,Yes
C1032,2023-10-15,Bronze,No
C1033,2024-09-15,Silver,No
C1034,2025-02-16,Platinum,Yes
C1035,2025-03-09,Silver,No
C1036,2023-06-25,Bronze,Yes
C1037,2023-06-04,Bronze,No
C1038,2023-10-22,Bronze,Yes
C1039,2024-06-16,Gold,Yes
C1040,2023-07-09,Bronze,Yes
C1041,2023-02-26,Bronze,Yes
C1042,2023-05-14,Silver,Yes
C1043,2024-01-21,Bronze,Yes
C1044,2024-07-28,Silver,Yes
C1045,2025-02-16,Bronze,No
C1046,2023-09-24,Gold,Yes
C1047,2023-12-17,Platinum,Yes
C1048,2023-03-19,Silver,Yes
C1049,2024-06-30,Platinum,Yes
C1050,2024-10-20,Bronze,No
C1051,2024-01-14,Silver,No
C1052,2024-06-23,Silver,Yes
C1053,2023-03-12,Silver,Yes
C1054,2023-06-25,Bronze,No
C1055,2023-10-15,Bronze,Yes
C1056,2023-07-02,Bronze,No
C1057,2023-03-12,Bronze,Yes
C1058,2023-09-17,Bronze,No
C1059,2024-11-10,Silver,Yes
C1060,2023-10-22,Bronze,Yes
C1061,2023-05-07,Bronze,No
C1062,2024-03-17,Silver,Yes
C1063,2023-02-05,Silver,Yes
C1064,2023-11-12,Gold,Yes
C1065,2025-03-16,Silver,Yes
C1066,2024-12-08,Bronze,Yes
C1067,2025-02-23,Gold,Yes
C1068,2023-10-15,Silver,Yes
C1069,2024-09-29,Bronze,Yes
